classifier,budget_pct,strategy,baseline_mean,baseline_std,strategy_mean,strategy_std,improvement,improvement_pct,wilcoxon_statistic,p_value,cliffs_delta,effect_size,n_samples,p_value_corrected,significant
Random Forest,0.6,Entropy Sampling,0.2219903092033053,0.009557395469257957,0.22708045729398463,0.00955336999211986,0.005090148090679314,2.292959593122421,11.0,0.21875,0.2,klein,5,1.0,False
Random Forest,0.6,Margin Sampling,0.2219903092033053,0.009557395469257957,0.23208077159672708,0.007803023663982951,0.010090462393421762,4.545451749508857,12.0,0.15625,0.52,groß,5,1.0,False
Random Forest,0.6,Least Confidence,0.2219903092033053,0.009557395469257957,0.22793917137771286,0.003766251713786182,0.005948862174407543,2.6797846247240455,9.0,0.40625,0.28,klein,5,1.0,False
Random Forest,0.8,Entropy Sampling,0.22367544381739357,0.0038473679457835543,0.22882612863809787,0.007954888783649885,0.005150684820704299,2.3027493464634707,11.0,0.21875,0.36,mittel,5,1.0,False
Random Forest,0.8,Margin Sampling,0.22367544381739357,0.0038473679457835543,0.22521459342857247,0.007403453742162643,0.0015391496111789027,0.6881173833438101,8.0,0.5,0.04,vernachlässigbar,5,1.0,False
Random Forest,0.8,Least Confidence,0.22367544381739357,0.0038473679457835543,0.22319630255728695,0.009388900319949694,-0.00047914126010661917,-0.2142127235467946,8.0,0.5,0.12,vernachlässigbar,5,1.0,False
Random Forest,1.0,Entropy Sampling,0.23150476188368158,0.0017065612231230054,0.2317021605514049,0.003948309080856468,0.00019739866772333636,0.08526764897497803,9.0,0.40625,0.28,klein,5,1.0,False
Random Forest,1.0,Margin Sampling,0.23150476188368158,0.0017065612231230054,0.23033085327698152,0.003091044705897776,-0.0011739086067000526,-0.5070775206299546,4.0,0.84375,-0.12,vernachlässigbar,5,1.0,False
Random Forest,1.0,Least Confidence,0.23150476188368158,0.0017065612231230054,0.22853681715138113,0.0017293284553402993,-0.0029679447323004426,-1.282023189566905,0.0,1.0,-0.76,groß,5,1.0,False
Logistic Regression,0.2,Entropy Sampling,0.18166913984983332,0.005027279487729443,0.17921242995566777,0.01605267670307624,-0.0024567098941655485,-1.352298962936826,7.0,0.59375,-0.12,vernachlässigbar,5,1.0,False
Logistic Regression,0.2,Margin Sampling,0.18166913984983332,0.005027279487729443,0.17545699026061704,0.013517404569782374,-0.006212149589216287,-3.419485331604044,5.0,0.78125,-0.28,klein,5,1.0,False
Logistic Regression,0.2,Least Confidence,0.18166913984983332,0.005027279487729443,0.18451682429781696,0.012519164421147179,0.0028476844479836394,1.5675113837922714,9.0,0.40625,0.04,vernachlässigbar,5,1.0,False
Logistic Regression,0.4,Entropy Sampling,0.18592050079390313,0.0053920358064273085,0.1842308600042376,0.008455142911895744,-0.0016896407896655197,-0.9087974604470987,6.0,0.6875,-0.2,klein,5,1.0,False
Logistic Regression,0.4,Margin Sampling,0.18592050079390313,0.0053920358064273085,0.18800698092505091,0.004906926344467593,0.0020864801311477887,1.1222431750335575,10.0,0.3125,0.36,mittel,5,1.0,False
Logistic Regression,0.4,Least Confidence,0.18592050079390313,0.0053920358064273085,0.18597777666369808,0.0054006607166087435,5.7275869794953804e-05,0.03080664560948302,8.0,0.5,0.04,vernachlässigbar,5,1.0,False
Logistic Regression,0.6,Entropy Sampling,0.18808317942323335,0.0042256251856913505,0.1812008783571595,0.0067430540965899375,-0.006882301066073848,-3.6591794583538917,3.0,0.90625,-0.6,groß,5,1.0,False
Logistic Regression,0.6,Margin Sampling,0.18808317942323335,0.0042256251856913505,0.18368721217567846,0.0029446671155827385,-0.004395967247554894,-2.337246350808909,3.0,0.90625,-0.36,mittel,5,1.0,False
Logistic Regression,0.6,Least Confidence,0.18808317942323335,0.0042256251856913505,0.18981003166804103,0.005562372603727014,0.001726852244807675,0.9181322062414914,7.0,0.59375,0.12,vernachlässigbar,5,1.0,False
Logistic Regression,0.8,Entropy Sampling,0.18757971852014005,0.0032015631771970567,0.19447106987159404,0.0061962346964632665,0.006891351351453995,3.6738254038450777,13.0,0.09375,0.68,groß,5,1.0,False
