strategy,budget_pct,run,n_labeled,accuracy,f1_score,avg_query_time,avg_train_time
Entropy Sampling,1.0,4,60000,0.9335,0.9331674981242539,0.5893919728383297,7.662503158344942
Margin Sampling,0.2,0,12000,0.9141,0.9130770661870938,1.060280872427899,1.5449667184249214
Margin Sampling,0.2,1,12000,0.9132,0.9122353821294361,1.0635424282239831,1.544624307881231
Margin Sampling,0.2,2,12000,0.9131,0.9124905417494398,1.065253496170044,1.54159486812094
Margin Sampling,0.2,3,12000,0.9148,0.9141142412446308,1.0568444417870564,1.5417219037595002
Margin Sampling,0.2,4,12000,0.9158,0.9150416340979269,1.0577029767243757,1.5431427644646687
Margin Sampling,0.4,0,24000,0.925,0.9243858124463529,0.9420577211582915,3.0683830240939525
Margin Sampling,0.4,1,24000,0.9221,0.9215673330875711,0.9422343487435199,3.0706737447292247
Margin Sampling,0.4,2,24000,0.9218,0.9211976518085381,0.9402710021810329,3.0690417289733887
Margin Sampling,0.4,3,24000,0.923,0.9222985523195785,0.9444091117128413,3.0715457835095994
Margin Sampling,0.4,4,24000,0.9229,0.9220146023108853,0.9456636195487165,3.0696288321880583
Margin Sampling,0.6,0,36000,0.9278,0.9272242709496638,0.8265566926606944,4.599050807281279
Margin Sampling,0.6,1,36000,0.926,0.9254807450385979,0.8248063309091918,4.599122638433752
Margin Sampling,0.6,2,36000,0.9261,0.9255945833768481,0.8256086799460398,4.600143036372225
Margin Sampling,0.6,3,36000,0.9288,0.9282108500156612,0.8242379947447441,4.598187268619806
Margin Sampling,0.6,4,36000,0.9274,0.9268885772713548,0.8244346564924213,4.599487277823434
Margin Sampling,0.8,0,48000,0.9292,0.9289728613412997,0.709064245223999,6.128177532396818
Margin Sampling,0.8,1,48000,0.9295,0.9291260675842572,0.7082891740297016,6.126837956277948
Margin Sampling,0.8,2,48000,0.9301,0.929660926725294,0.708463498165733,6.132447323046232
Margin Sampling,0.8,3,48000,0.9264,0.9259069562663956,0.7099304149025365,6.150172519683838
Margin Sampling,0.8,4,48000,0.9286,0.9281978553001281,0.7080077698356226,6.154459895585712
Margin Sampling,1.0,0,60000,0.9293,0.9290021679392508,0.5912099425532237,7.693038535719158
Margin Sampling,1.0,1,60000,0.9312,0.9308825800271279,0.5924089235417983,7.693774451728628
Margin Sampling,1.0,2,60000,0.9306,0.9302869233850982,0.5934441951142639,7.691228986788197
Margin Sampling,1.0,3,60000,0.929,0.9286636207165719,0.5908074078439665,7.689596618924822
Margin Sampling,1.0,4,60000,0.9313,0.9309106892196238,0.5939970837921655,7.693505323233724
Least Confidence,0.2,0,12000,0.913,0.9117647753245738,1.0642023812169614,1.5496894380320674
Least Confidence,0.2,1,12000,0.9107,0.9097202753655635,1.0652991688769797,1.5495012221129045
Least Confidence,0.2,2,12000,0.9099,0.9091972316270478,1.0662925865339197,1.550653592399929
Least Confidence,0.2,3,12000,0.9125,0.9116332310750517,1.0670796477276345,1.5513037805971892
Least Confidence,0.2,4,12000,0.9122,0.9115224086586657,1.1099361233089282,1.5813339067542034
Least Confidence,0.4,0,24000,0.9256,0.9249506592079907,1.0179388117282948,3.1596198386334358
Least Confidence,0.4,1,24000,0.9233,0.9225621343812694,1.0194757847075766,3.156467523980648
Least Confidence,0.4,2,24000,0.9209,0.9200535923659349,1.018467015408455,3.1562431162976203
